Issue Date/Time,Street Number,Street Direction,Street Name,License Plate,License Plate State,License Plate Type,Violation Code,Violation Code Description,Unit,Vehicle Make,Fine Level 1 Amt,Fine Leve 2 Amt,Current Amt Due,Ticket Queue,Ticket Queue Date,Notice Level,Location,Latitude,Longitude
01/04/2017 10:31:00,1559,N,WELLS,140545F,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,MITS,$150.00,$300.00,$0.00,Paid,01/19/2017 21:20:24,VIOL,"1559 N WELLS Chicago, IL",41.9108609,-87.6344034
01/04/2017 10:33:00,1210,N,WELLS,Z439140,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,SUBA,$150.00,$300.00,$0.00,Paid,05/03/2017 18:17:03,DETR,"1210 N WELLS Chicago, IL",41.904256,-87.6348593
01/04/2017 12:10:00,308,S,HALSTED ST,1131546B,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Paid,02/07/2017 21:17:38,VIOL,"308 S HALSTED ST Chicago, IL",41.8775955,-87.647548
01/04/2017 15:17:00,3232,N,HALSTED ST,304646D,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FLNR,$150.00,$300.00,$150.00,Define,01/05/2017 21:08:33,,"3232 N HALSTED ST Chicago, IL",41.9409949,-87.649636
01/05/2017 07:58:00,1223,N,WELLS,42120R,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FLNR,$150.00,$300.00,$0.00,Paid,01/24/2017 21:18:25,VIOL,"1223 N WELLS Chicago, IL",41.9046334,-87.6340732
01/05/2017 08:37:00,2600,N,CLARK,2437378,IN,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,VOLV,$150.00,$300.00,$0.00,Paid,01/10/2017 21:38:18,,"2600 N CLARK Chicago, IL",41.9296741,-87.6434142
01/05/2017 12:17:00,113,W,WASHINGTON STREET,Q924045,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$300.00,Notice,01/12/2017 00:39:13,FINL,"113 W WASHINGTON STREET Chicago, IL",41.8832128,-87.6316816
01/05/2017 12:28:00,111,W,WASHINGTON STREET,6030869,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$0.00,Paid,01/10/2017 21:39:07,,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/05/2017 12:51:00,21,W,WASHINGTON STREET,Z246398,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,SUBA,$150.00,$300.00,$0.00,Dismissed,04/06/2017 15:45:12,VIOL,"21 W WASHINGTON STREET Chicago, IL",41.8832317,-87.6286276
01/05/2017 20:37:00,1115,N,DAMEN,V493087,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,012,FORD,$150.00,$300.00,$0.00,Paid,04/26/2017 21:16:44,FINL,"1115 N DAMEN Chicago, IL",41.901793,-87.676853
01/06/2017 08:26:00,1227,N,CLARK,R473244,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HYUN,$150.00,$300.00,$300.00,Notice,01/09/2017 21:07:28,FINL,"1227 N CLARK Chicago, IL",41.9051975,-87.6310221
01/06/2017 08:27:00,110,S,DEARBORN ST,A895632,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,01/31/2017 22:56:01,VIOL,"110 S DEARBORN ST Chicago, IL",41.88036,-87.6295833
01/06/2017 19:36:00,102,S,DEARBORN,S374340,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,001,TOYT,$150.00,$300.00,$0.00,Paid,01/20/2017 10:38:01,,"102 S DEARBORN Chicago, IL",41.8806238,-87.6293989
01/06/2017 22:44:00,4239,W,MADISON,Q703123,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,BUIC,$150.00,$300.00,$300.00,Notice,01/19/2017 00:07:18,SEIZ,"4239 W MADISON Chicago, IL",41.880322,-87.732125
01/08/2017 13:30:00,4014,W,MADISON,S633783,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,CHEV,$150.00,$300.00,$0.00,Paid,04/04/2017 12:25:27,DETR,"4014 W MADISON Chicago, IL",41.8807266,-87.7262612
01/08/2017 13:35:00,4121,W,MADISON,P656236,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,NISS,$150.00,$300.00,$366.00,Notice,01/19/2017 00:08:04,SEIZ,"4121 W MADISON Chicago, IL",41.8803626,-87.7290051
01/08/2017 17:50:00,5424,W,MADISON,Q142544,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,015,DODG,$150.00,$300.00,$0.00,Dismissed,04/13/2017 10:00:05,VIOL,"5424 W MADISON Chicago, IL",41.8805747,-87.761192
01/09/2017 12:44:00,111,W,WASHINGTON STREET,P561325,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HYUN,$150.00,$300.00,$0.00,Paid,01/23/2017 13:54:06,VIOL,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/09/2017 12:49:00,111,W,WASHINGTON STREET,V202666,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,DODG,$150.00,$300.00,$300.00,Notice,01/18/2017 23:17:38,FINL,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/09/2017 13:54:00,230,N,LAKE,PTOSIS1,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,012,PORS,$150.00,$300.00,$0.00,Paid,01/19/2017 21:23:07,,"230 N LAKE Chicago, IL",41.885969,-87.635029
01/09/2017 16:17:00,2817,N,CLARK ST,Y856918,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,03/20/2017 21:20:35,VIOL,"2817 N CLARK ST Chicago, IL",41.9333464,-87.6450731
01/10/2017 10:26:00,111,W,WASHINGTON STREET,Q388355,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HYUN,$150.00,$300.00,$227.39,Notice,03/17/2017 19:00:20,SEIZ,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/10/2017 10:29:00,111,W,WASHINGTON STREET,270711D,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Paid,02/27/2017 13:48:04,DETR,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/10/2017 12:47:00,838,W,ARMITAGE,Z197914,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,01/11/2017 21:37:13,,"838 W ARMITAGE Chicago, IL",41.9183193,-87.6500977
01/10/2017 12:52:00,920,W,ARMITAGE,Z103940,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,LEXU,$150.00,$300.00,$0.00,Paid,02/01/2017 09:57:02,VIOL,"920 W ARMITAGE Chicago, IL",41.9183458,-87.6518445
01/10/2017 13:09:00,1020,W,ARMITAGE,Q323224,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,BMW,$150.00,$300.00,$300.00,Notice,01/18/2017 23:18:25,SEIZ,"1020 W ARMITAGE Chicago, IL",41.918218,-87.6542109
01/10/2017 13:56:00,1015,W,ARMITAGE,5613625,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,BMW,$150.00,$300.00,$0.00,Paid,01/16/2017 10:09:02,,"1015 W ARMITAGE Chicago, IL",41.917909,-87.6541746
01/10/2017 14:34:00,828,E,55TH ST,MUMZ1,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,03/24/2017 13:03:01,DETR,"828 E 55TH ST Chicago, IL",41.7949667,-87.6055368
01/10/2017 16:02:00,111,W,WASHINGTON STREET,E814204,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,$150.00,$300.00,$0.00,Paid,02/16/2017 21:39:02,VIOL,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/11/2017 02:09:00,1802,W,ROOSEVELT,Z107147,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,012,BUIC,$150.00,$300.00,$0.00,Paid,02/24/2017 13:18:07,VIOL,"1802 W ROOSEVELT Chicago, IL",41.867145,-87.671616
01/11/2017 11:01:00,1121,W,ARMITAGE,85644XB,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Paid,03/31/2017 21:15:36,DETR,"1121 W ARMITAGE Chicago, IL",41.9178386,-87.6563975
01/11/2017 12:10:00,2508,N,SOUTHPORT,Q899080,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,AUDI,$150.00,$300.00,$300.00,Notice,01/18/2017 23:37:30,FINL,"2508 N SOUTHPORT Chicago, IL",41.9273388,-87.6636394
01/11/2017 18:33:00,140,S,DEARBORN,T237770,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,001,TOYT,$150.00,$300.00,$0.00,Paid,02/22/2017 08:08:02,VIOL,"140 S DEARBORN Chicago, IL",41.8797828,-87.6297248
01/12/2017 03:01:00,1411,S,STATE,Y771831,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,001,KIA,$150.00,$300.00,$300.00,Notice,01/26/2017 00:14:15,SEIZ,"1411 S STATE Chicago, IL",41.8635681,-87.6269986
01/12/2017 09:09:00,2020,N,CLYBOURN,Q255627,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,$150.00,$300.00,$0.00,Paid,03/23/2017 21:19:21,DETR,"2020 N CLYBOURN Chicago, IL",41.9183696,-87.6602815
01/12/2017 09:22:00,3053,N,SOUTHPORT,K783050,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MITS,$150.00,$300.00,$0.00,Paid,01/19/2017 01:47:02,,"3053 N SOUTHPORT Chicago, IL",41.937677,-87.6633744
01/12/2017 10:37:00,802,S,WABASH,6921TX,IL,TXI,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$300.00,Notice,01/18/2017 23:47:21,SEIZ,"802 S WABASH Chicago, IL",41.8717598,-87.6259279
01/12/2017 12:17:00,811,W,MILWAUKEE,Z343696,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Paid,04/14/2017 13:38:04,FINL,"811 W MILWAUKEE Chicago, IL",41.8966477,-87.6556649
01/12/2017 13:03:00,2320,N,CLARK,KUBBALL,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,AUDI,$150.00,$300.00,$0.00,Paid,03/21/2017 21:15:29,DETR,"2320 N CLARK Chicago, IL",41.9242236,-87.6400075
01/12/2017 13:44:00,111,W,WASHINGTON STREET,180303EN,IL,ENV,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$0.00,Dismissed,03/27/2017 10:32:03,VIOL,"111 W WASHINGTON STREET Chicago, IL",41.8828273,-87.6316716
01/13/2017 07:59:00,1205,W,ALBION,Q688271,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,DODG,$150.00,$300.00,$300.00,Notice,01/19/2017 00:00:39,DLS,"1205 W ALBION Chicago, IL",42.0025401,-87.6610939
01/13/2017 09:03:00,210,S,DESPLAINES ST,Q770438,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,BMW,$150.00,$300.00,$0.00,Paid,03/23/2017 13:52:04,DETR,"210 S DESPLAINES ST Chicago, IL",41.878922,-87.644529
01/13/2017 10:50:00,1629,N,WELLS,390462D,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,$150.00,$300.00,$300.00,Notice,01/19/2017 00:00:14,FINL,"1629 N WELLS Chicago, IL",41.9118498,-87.6342566
01/13/2017 10:51:00,1635,N,WELLS,127587F,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Paid,01/17/2017 21:29:05,,"1635 N WELLS Chicago, IL",41.9119204,-87.6347325
01/13/2017 11:01:00,1505,N,WELLS,141170H,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,HINO,$150.00,$300.00,$0.00,Paid,02/23/2017 21:22:28,VIOL,"1505 N WELLS Chicago, IL",41.9093919,-87.63432
01/13/2017 11:05:00,1505,N,WELLS,P266718,IN,APP,0940060,PARK/STAND ON BICYCLE PATH,0498,VOLV,$150.00,$300.00,$150.00,Define,01/17/2017 21:11:07,,"1505 N WELLS Chicago, IL",41.9093919,-87.63432
01/13/2017 11:09:00,1531,N,WELLS ST,230080,IN,APP,0940060,PARK/STAND ON BICYCLE PATH,0498,VOLV,$150.00,$300.00,$150.00,Define,01/17/2017 21:11:13,,"1531 N WELLS ST Chicago, IL",41.910058,-87.6342391
01/13/2017 11:10:00,1330,N,WELLS,42120R,IL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,FLNR,$150.00,$300.00,$0.00,Paid,02/15/2017 21:37:05,VIOL,"1330 N WELLS Chicago, IL",41.9066144,-87.6351953
01/13/2017 11:15:00,1225,N,WELLS,2425625,IN,APP,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$0.00,Dismissed,04/02/2017 13:08:12,,"1225 N WELLS Chicago, IL",41.9047391,-87.6341188
01/13/2017 11:30:00,1335,W,DEVON,K689210,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MERZ,$150.00,$300.00,$0.00,Paid,04/10/2017 22:13:01,FINL,"1335 W DEVON Chicago, IL",41.9979697,-87.6644699
01/13/2017 12:17:00,1018,W,ARMITAGE,A469657,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$0.00,Paid,02/13/2017 11:17:03,VIOL,"1018 W ARMITAGE Chicago, IL",41.9182953,-87.6541703
01/13/2017 12:58:00,1006,W,ARMITAGE,V381482,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,BMW,$150.00,$300.00,$0.00,Paid,01/23/2017 21:15:43,VIOL,"1006 W ARMITAGE Chicago, IL",41.9182823,-87.6538114
01/13/2017 13:08:00,3133,N,CLARK ST,Y552354,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$0.00,Paid,01/17/2017 21:24:59,,"3133 N CLARK ST Chicago, IL",41.9390278,-87.6499487
01/13/2017 17:31:00,5146,W,MADISON S,R191150,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,015,FORD,$150.00,$300.00,$300.00,Notice,02/02/2017 02:28:03,SEIZ,"5146 W MADISON S Chicago, IL",41.880617,-87.7545226
01/13/2017 19:14:00,4520,N,BROADWAY,HE4S7H,MO,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,HYUN,$150.00,$300.00,$0.00,Paid,03/01/2017 21:22:53,VIOL,"4520 N BROADWAY Chicago, IL",41.9642092,-87.6569925
01/14/2017 12:30:00,6019,S,NORMAL,E862323,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,007,CHEV,$150.00,$300.00,$300.00,Notice,01/25/2017 23:45:50,SEIZ,"6019 S NORMAL Chicago, IL",41.784583,-87.6374497
01/14/2017 16:43:00,561,W,ROOSEVELT ROAD,L832581,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,CHRY,$150.00,$300.00,$366.00,Notice,01/19/2017 00:15:55,FINL,"561 W ROOSEVELT ROAD Chicago, IL",41.8671759,-87.64157
01/14/2017 20:18:00,3413,S,HALSTED,Z679641,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,009,SATR,$150.00,$300.00,$125.00,Notice,01/25/2017 23:57:03,FINL,"3413 S HALSTED Chicago, IL",41.8321053,-87.6458133
01/15/2017 11:51:00,410,N,WELLS ST,Q817235,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,TOYT,$150.00,$300.00,$0.00,Paid,02/09/2017 20:56:03,VIOL,"410 N WELLS ST Chicago, IL",41.8895521,-87.6342352
01/15/2017 19:48:00,851,W,ARMITAGE,V847320,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,CHEV,$150.00,$300.00,$300.00,Notice,02/01/2017 23:41:05,FINL,"851 W ARMITAGE Chicago, IL",41.9179992,-87.6504996
01/16/2017 11:47:00,3243,N,CLARK,Q253540,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,AUDI,$150.00,$300.00,$0.00,Paid,03/26/2017 13:40:01,DETR,"3243 N CLARK Chicago, IL",41.9413308,-87.6514539
01/16/2017 13:00:00,4430,N,BROADWAY ST,R190917,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,HUMM,$150.00,$300.00,$0.00,Paid,03/08/2017 11:08:02,DETR,"4430 N BROADWAY ST Chicago, IL",41.9625683,-87.6556307
01/17/2017 12:14:00,327,W,WASHINGTON STREET,1654TX,IL,TXI,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$300.00,Notice,01/26/2017 00:20:15,SEIZ,"327 W WASHINGTON STREET Chicago, IL",41.8832034,-87.6363426
01/17/2017 16:07:00,1348,E,55TH ST,G881700,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,KIA,$150.00,$300.00,$0.00,Dismissed,04/01/2017 12:32:02,VIOL,"1348 E 55TH ST Chicago, IL",41.7953585,-87.5930919
01/17/2017 17:01:00,4427,N,BROADWAY,IRSNBOY,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,019,HOND,$150.00,$300.00,$300.00,Notice,02/01/2017 23:24:12,FINL,"4427 N BROADWAY Chicago, IL",41.9625272,-87.6553501
01/17/2017 17:14:00,3131,N,CLARK,4806848,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,$150.00,$300.00,$150.00,Court,02/16/2017 00:53:39,VIOL,"3131 N CLARK Chicago, IL",41.9390359,-87.6497407
01/17/2017 17:45:00,5140,W,MADISON,Q932098,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,015,NISS,$150.00,$300.00,$300.00,Notice,02/08/2017 23:53:25,FINL,"5140 W MADISON Chicago, IL",41.880661,-87.754394
01/17/2017 19:11:00,4545,N,BROADWAY,2100TX,IL,TXI,0940060,PARK/STAND ON BICYCLE PATH,0502,TOYT,$150.00,$300.00,$0.00,Paid,01/23/2017 11:57:09,,"4545 N BROADWAY Chicago, IL",41.9648867,-87.6567827
01/18/2017 07:06:00,20,E,RANDOLPH,TK940MMX,IN,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,DODG,$150.00,$300.00,$300.00,Notice,01/25/2017 23:35:23,FINL,"20 E RANDOLPH Chicago, IL",41.884654,-87.6271415
01/18/2017 08:10:00,210,S,DESPLAINES,189367RV,IL,RVM,0940060,PARK/STAND ON BICYCLE PATH,495,FORD,$150.00,$300.00,$150.00,Notice,02/08/2017 23:44:51,DETR,"210 S DESPLAINES Chicago, IL",41.878922,-87.644529
01/18/2017 08:15:00,210,S,DESPLAINES,XHF977,IN,PAS,0940060,PARK/STAND ON BICYCLE PATH,495,HOND,$150.00,$300.00,$0.00,Paid,02/15/2017 15:04:04,VIOL,"210 S DESPLAINES Chicago, IL",41.878922,-87.644529
01/18/2017 08:15:00,208,S,DESPLAINES,Z569721,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,495,CADI,$150.00,$300.00,$0.00,Paid,03/20/2017 15:04:03,DETR,"208 S DESPLAINES Chicago, IL",41.8790041,-87.6445306
01/18/2017 09:26:00,181,W,WASHINGTON STREET,Z541667,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,NISS,$150.00,$300.00,$150.00,Bankruptcy,03/14/2017 14:31:47,DETR,"181 W WASHINGTON STREET Chicago, IL",41.882931,-87.6335676
01/18/2017 12:26:00,4222,W,MADISON,Q170410,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,FORD,$150.00,$300.00,$300.00,Notice,02/01/2017 23:27:27,SEIZ,"4222 W MADISON Chicago, IL",41.8810554,-87.7314432
01/18/2017 12:55:00,3135,N,CLARK ST,R830297,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Dismissed,04/13/2017 15:48:22,VIOL,"3135 N CLARK ST Chicago, IL",41.9391597,-87.6497051
01/18/2017 13:24:00,1022,W,ARMITAGE,Z889760,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,AUDI,$150.00,$300.00,$0.00,Paid,04/25/2017 08:12:05,FINL,"1022 W ARMITAGE Chicago, IL",41.9183268,-87.654327
01/18/2017 14:14:00,4123,W,MADISON,9671140,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,CHEV,$150.00,$300.00,$300.00,Notice,02/02/2017 02:26:14,FINL,"4123 W MADISON Chicago, IL",41.8803508,-87.7291
01/18/2017 14:15:00,4123,W,MADISON,Q986150,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,JEEP,$150.00,$300.00,$0.00,Paid,06/30/2017 19:15:02,SEIZ,"4123 W MADISON Chicago, IL",41.8803508,-87.7291
01/18/2017 17:01:00,3164,N,CLARK,3038EL,IL,ELE,0940060,PARK/STAND ON BICYCLE PATH,0498,TESL,$150.00,$300.00,$0.00,Paid,01/26/2017 09:50:03,,"3164 N CLARK Chicago, IL",41.9393121,-87.6504666
01/18/2017 18:21:00,3438,S,HALSTED ST,Z795706,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,$150.00,$300.00,$366.00,Notice,01/25/2017 23:36:15,FINL,"3438 S HALSTED ST Chicago, IL",41.8314709,-87.6461188
01/19/2017 10:14:00,1555,N,WELLS,24740J,FL,TRK,0940060,PARK/STAND ON BICYCLE PATH,0498,INTL,$150.00,$300.00,$300.00,Notice,01/25/2017 23:51:29,FINL,"1555 N WELLS Chicago, IL",41.9107022,-87.6343716
01/19/2017 10:28:00,2491,S,BLUE ISLAND,Q626017,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,DODG,$150.00,$300.00,$0.00,Paid,04/06/2017 23:43:03,DETR,"2491 S BLUE ISLAND Chicago, IL",41.8473491,-87.6787915
01/19/2017 10:31:00,2481,S,BLUE ISLAND,S385533,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,NISS,$150.00,$300.00,$0.00,Paid,02/20/2017 12:26:02,VIOL,"2481 S BLUE ISLAND Chicago, IL",41.8474298,-87.6785789
01/19/2017 12:49:00,820,W,JACKSON BV,R483951,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,$150.00,$300.00,$0.00,Paid,01/30/2017 21:20:37,VIOL,"820 W JACKSON BV Chicago, IL",41.878272,-87.6480603
01/19/2017 12:50:00,3335,N,CLARK,8935850,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,01/30/2017 14:37:02,VIOL,"3335 N CLARK Chicago, IL",41.9427728,-87.6527019
01/19/2017 12:56:00,850,W,ARMITAGE,CA7300,IN,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MERZ,$150.00,$300.00,$0.00,Paid,03/17/2017 09:58:03,DETR,"850 W ARMITAGE Chicago, IL",41.9183311,-87.6504008
01/19/2017 13:00:00,838,W,ARMITAGE,R781371,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,INFI,$150.00,$300.00,$0.00,Paid,02/16/2017 21:15:02,VIOL,"838 W ARMITAGE Chicago, IL",41.9183193,-87.6500977
01/19/2017 14:04:00,20,W,WASHINGTON STREET,E563963,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,$150.00,$300.00,$366.00,Notice,01/25/2017 23:51:31,SEIZ,"20 W WASHINGTON STREET Chicago, IL",41.8832317,-87.6285773
01/19/2017 20:11:00,5146,W,MADISON,E700704,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,015,SATR,$150.00,$300.00,$0.00,Paid,03/01/2017 16:44:02,VIOL,"5146 W MADISON Chicago, IL",41.880617,-87.7545226
01/20/2017 11:39:00,4121,W,MADISON,Z677890,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,CADI,$150.00,$300.00,$150.00,Define,01/30/2017 21:07:13,,"4121 W MADISON Chicago, IL",41.8803626,-87.7290051
01/20/2017 11:39:00,4121,W,MADISON,V371012,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,DODG,$150.00,$300.00,$0.00,Paid,04/22/2017 18:17:04,DETR,"4121 W MADISON Chicago, IL",41.8803626,-87.7290051
