X,Y,field_1,Issue Date,Violation Location,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,Fine Level 2 Amount,Curr Amt Due,Ticket Queue,Ticket Queue Date,Notice Level,Hear Decision,bike block,Count,Latitude,Longitude
-87.6270799,41.8523494,34,1/8/2016 16:43,2220 S STATE ST,VTS615,KS,PAS,940060,PARK/STAND ON BICYCLE PATH,1,HOND,150,300,0,Paid,2/1/2016 22:11,,N,TRUE,2,41.8523494,-87.6270799
-87.6412663,41.884595,35,1/10/2016 6:43,149 N CLINTON,284159,IL,HCP,940060,PARK/STAND ON BICYCLE PATH,1,JAGU,150,300,0,Paid,11/9/2016 16:29,SEIZ,N,TRUE,1,41.884595,-87.6412663
-87.6440237,41.877733,36,1/14/2016 12:01,308 S DESPLAINES ST,14059GB,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,1/22/2016 21:16,,N,TRUE,3,41.877733,-87.6440237
-87.625123,41.858239,37,1/14/2016 12:04,1727 S WABASH,V356877,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,CHEV,150,300,0,Paid,2/5/2016 9:59,VIOL,N,TRUE,1,41.858239,-87.625123
-87.6392632,41.8688149,38,1/14/2016 14:03,1102 S CANAL ST,S449058,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,LEXU,150,300,0,Paid,2/15/2016 15:25,VIOL,N,TRUE,1,41.8688149,-87.6392632
-87.6296723,41.8828274,39,1/14/2016 13:44,40 N DEARBORN ST,DRT1SR,IL,COL,940060,PARK/STAND ON BICYCLE PATH,498,CADI,150,300,150,Define,1/15/2016 21:07,,N,TRUE,3,41.8828274,-87.6296723
-87.6199451,41.8310605,40,1/8/2016 20:18,246 E 35 ST,R533250,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,2,TOYT,150,300,300,Bankruptcy,3/16/2017 14:09,SEIZ,N,TRUE,1,41.8310605,-87.6199451
-87.6345606,41.8893689,41,1/9/2016 17:50,210 N KINZIE,UHN593,IN,PAS,940060,PARK/STAND ON BICYCLE PATH,18,LEXU,150,300,0,Paid,3/6/2016 13:24,DETR,Y,TRUE,1,41.8893689,-87.6345606
-87.6345606,41.8893689,42,1/9/2016 17:50,210 W KINZIE,PEX2,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,18,PORS,150,300,0,Dismissed,2/13/2016 14:54,,Y,TRUE,4,41.8893689,-87.6345606
-87.6345456,41.9052597,43,1/5/2016 16:20,1245 N WELLS,PYZ7007,LA,PAS,940060,PARK/STAND ON BICYCLE PATH,18,FORD,150,300,150,Define,1/19/2016 21:05,,N,TRUE,3,41.9052597,-87.6345456
-87.6764774,41.8230729,44,1/11/2016 16:05,2100 W PERSHING RD,Y730010,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,8,NISS,150,300,0,Paid,2/10/2016 16:21,VIOL,N,TRUE,2,41.8230729,-87.6764774
-87.6294229,41.8820007,45,1/4/2016 14:52,2 N DEARBORN,3480TX,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,8,HYUN,150,300,0,Dismissed,2/25/2016 13:50,VIOL,Y,TRUE,1,41.8820007,-87.6294229
-87.6058799,41.8141197,46,1/15/2016 17:48,4420 S DREXEL BOULEVARD,E548931,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,HYUN,150,300,0,Paid,12/1/2016 18:17,SEIZ,N,TRUE,1,41.8141197,-87.6058799
-87.588157,41.7949706,47,1/15/2016 10:47,1521 E 55TH ST,E637047,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,12/15/2016 12:58,SEIZ,N,TRUE,1,41.7949706,-87.588157
-87.6295239,41.8864342,48,1/13/2016 10:38,230 N DEARBORN,6413TX,IL,TXI,940060,PARK/STAND ON BICYCLE PATH,1,TOYT,150,300,0,Paid,8/20/2016 1:22,SEIZ,N,TRUE,1,41.8864342,-87.6295239
-87.671624,41.850431,49,1/10/2016 1:40,2312 S BLUE ISLAND,E526365,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,10,PONT,150,300,0,Paid,2/19/2016 13:50,VIOL,N,TRUE,6,41.850431,-87.671624
-87.6398369,41.9245297,50,1/19/2016 12:46,2327 N CLARK,10018MT,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,INTL,150,300,0,Paid,3/7/2016 10:32,DETR,N,TRUE,1,41.9245297,-87.6398369
-87.6441656,41.8834075,51,1/16/2016 13:51,110 N DESPLAINES,K615059,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,211,FORD,150,300,0,Paid,3/23/2016 7:22,DETR,N,TRUE,1,41.8834075,-87.6441656
-87.6294423,41.8827009,52,1/14/2016 19:14,32 N DEARBORN,9585136,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,HYUN,150,300,0,Paid,2/6/2016 16:05,VIOL,N,TRUE,2,41.8827009,-87.6294423
-87.6570565,41.931452,53,1/20/2016 13:33,2751 N LINCOLN AV,9240382,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,JEEP,150,300,0,Paid,7/11/2016 21:33,FINL,N,TRUE,1,41.931452,-87.6570565
-87.628613,41.8832317,54,1/20/2016 10:31,19 W WASHINGTON STREET,Z274396,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,CHEV,150,300,366,Notice,1/28/2016 0:40,SEIZ,N,TRUE,6,41.8832317,-87.628613
-87.6829454,41.8819132,55,1/18/2016 0:40,2233 W WARREN,R934522,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,12,PORS,150,300,0,Paid,2/19/2016 10:04,VIOL,N,TRUE,1,41.8819132,-87.6829454
-87.648316,41.9231229,56,1/21/2016 12:37,2245 N HALSTED ST,V217252,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,3/18/2016 8:49,DETR,Y,TRUE,1,41.9231229,-87.648316
-87.6499542,41.9259999,57,1/21/2016 13:22,2428 N LINCOLN,Z330375,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,0,Paid,3/20/2016 15:15,DETR,Y,TRUE,1,41.9259999,-87.6499542
-87.71832,41.863161,58,1/3/2016 22:35,3710 W DOUGLAS BLVD,E106676,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,10,NISS,150,300,0,Paid,2/9/2016 15:18,VIOL,N,TRUE,1,41.863161,-87.71832
-87.6425843,41.8743773,59,1/16/2016 19:36,610 W HARRISON,Z383461,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,FORD,150,300,-40,Paid,2/23/2016 21:17,VIOL,N,TRUE,1,41.8743773,-87.6425843
-87.6293596,41.8806897,60,1/22/2016 7:14,100 S DEARBORN ST,V377674,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,JEEP,150,300,0,Paid,1/31/2016 16:01,VIOL,N,TRUE,2,41.8806897,-87.6293596
-87.629359,41.8805306,61,1/22/2016 7:16,110 S DEARBORN ST,207WEM,WI,PAS,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,2/1/2016 16:11,VIOL,N,TRUE,2,41.8805306,-87.629359
-87.6294353,41.8832952,62,1/22/2016 13:17,102 N DEARBORN ST,1087152B,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,CHEV,150,300,366,Notice,1/28/2016 4:23,SEIZ,N,TRUE,2,41.8832952,-87.6294353
-87.6580572,41.8579319,63,1/22/2016 19:12,1242 W 18TH ST,8565542,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,502,SATR,150,300,150,Define,1/25/2016 21:11,,N,TRUE,1,41.8579319,-87.6580572
-87.6769102,41.9175918,64,1/20/2016 12:38,1945  ARMITAGE,V854062,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,18,TOYT,150,300,0,Dismissed,4/8/2016 15:47,VIOL,Y,TRUE,1,41.9175918,-87.6769102
-87.7316537,41.8806505,65,1/20/2016 11:57,4220 W MADISON,S2291,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,GMC,150,300,0,Dismissed,5/1/2016 13:11,,N,TRUE,2,41.8806505,-87.7316537
-87.6298721,41.88606,66,1/13/2016 20:18,200 N DEARBORN,E479625,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,8,HOND,150,300,0,Paid,1/27/2016 21:19,,N,TRUE,2,41.88606,-87.6298721
-87.6286276,41.8832317,67,1/25/2016 10:28,21 W WASHINGTON STREET,342454D,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,FLNR,150,300,0,Paid,2/16/2016 12:11,VIOL,N,TRUE,8,41.8832317,-87.6286276
-87.626255,41.8710778,68,1/25/2016 14:00,828 S WABASH AV,S939070,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,HYUN,150,300,0,Paid,5/2/2016 15:44,DETR,N,TRUE,3,41.8710778,-87.626255
-87.6293589,41.8804988,69,1/22/2016 7:19,112 S DEARBORN,207WEM,WI,PAS,940060,PARK/STAND ON BICYCLE PATH,1,FORD,150,300,0,Dismissed,2/24/2016 11:25,VIOL,N,TRUE,1,41.8804988,-87.6293589
-87.627462,41.8743738,70,1/22/2016 18:49,5 E HARRISON AV,9830499,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,FORD,150,300,0,Paid,2/24/2016 12:34,VIOL,N,TRUE,1,41.8743738,-87.627462
-87.7615781,41.8799593,71,1/22/2016 17:59,5437 W MADISON,L721639,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,CHRY,150,300,0,Dismissed,3/30/2016 12:40,,Y,TRUE,2,41.8799593,-87.7615781
-87.761422,41.879954,72,1/22/2016 18:02,5431 W MADISON,E499937,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,NISS,150,300,366,Notice,2/4/2016 0:38,SEIZ,N,TRUE,6,41.879954,-87.761422
-87.6531015,41.9432632,73,1/26/2016 19:33,3355 N CLARK ST,R603491,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,502,SUBA,150,300,0,Paid,3/25/2016 18:13,DETR,N,TRUE,1,41.9432632,-87.6531015
-87.6492036,41.9448959,74,1/26/2016 22:10,3443 N HALSTED ST,E580087,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,502,RROV,150,300,0,Paid,2/1/2016 21:20,,N,TRUE,1,41.9448959,-87.6492036
-87.6294423,41.8827009,75,1/26/2016 9:01,32 N DEARBORN ST,3073TX,IL,TXI,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,0,Dismissed,4/11/2016 9:43,,Y,TRUE,4,41.8827009,-87.6294423
-87.6285842,41.8829813,76,1/27/2016 11:05,15 S WASHINGTON STREET,9184MS,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,INTL,150,300,0,Paid,3/16/2016 21:14,DETR,N,TRUE,1,41.8829813,-87.6285842
-87.6292699,41.8831065,77,1/27/2016 14:12,33 W WASHINGTON STREET,MSTOY,IA,PAS,940060,PARK/STAND ON BICYCLE PATH,498,CHRY,150,300,0,Paid,3/28/2016 10:50,VIOL,N,TRUE,1,41.8831065,-87.6292699
-87.6370513,41.8820692,78,1/27/2016 11:25,8 N WACKER DRIVE,9182L,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,INTL,150,300,366,Notice,2/4/2016 5:56,SEIZ,N,TRUE,2,41.8820692,-87.6370513
-87.6946291,41.8436193,79,1/27/2016 13:07,2646 S CALIFORNIA BLVD,433MII,IN,PAS,940060,PARK/STAND ON BICYCLE PATH,498,INFI,150,300,366,Notice,2/4/2016 2:11,SEIZ,N,TRUE,1,41.8436193,-87.6946291
-87.649851,41.92592,80,1/24/2016 0:31,2424 N LINCOLN,Y982413,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,19,TOYT,150,300,0,Paid,2/18/2016 11:19,VIOL,N,TRUE,1,41.92592,-87.649851
-87.7605849,41.8800608,81,1/23/2016 16:34,5409 W MADISON,S829898,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,MITS,150,300,142.74,Notice,2/4/2016 3:00,FINL,N,TRUE,3,41.8800608,-87.7605849
-87.6360938,41.8828478,82,1/28/2016 12:29,311 W WASHINGTON STREET,R435417,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,BMW,150,300,0,Paid,3/8/2016 9:48,VIOL,N,TRUE,1,41.8828478,-87.6360938
-87.6343002,41.889172,83,1/28/2016 9:59,204 W KINZIE ST,T360752,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,SUBA,150,300,0,Paid,1/31/2016 11:21,,N,TRUE,1,41.889172,-87.6343002
-87.6777223,41.9116501,84,1/30/2016 16:49,1640 N DAMEN AVE,E419168,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,502,CHEV,150,300,0,Paid,8/25/2016 17:18,FINL,N,TRUE,1,41.9116501,-87.6777223
-87.6774833,41.9119649,85,1/30/2016 16:53,1651 N DAMEN AVE,D727MG,IN,PAS,940060,PARK/STAND ON BICYCLE PATH,502,TOYT,150,300,150,Define,2/1/2016 21:05,,N,TRUE,1,41.9119649,-87.6774833
-87.6350996,41.8854232,86,1/29/2016 12:55,175 N FRANKLIN ST,E970816,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,276.24,Notice,4/29/2016 9:51,DLS,Y,TRUE,1,41.8854232,-87.6350996
-87.6956666,41.8588314,87,1/29/2016 9:22,1640 S CALIFORNIA AVE,N475875,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,LEXU,150,300,366,Notice,2/4/2016 5:54,SEIZ,N,TRUE,1,41.8588314,-87.6956666
-87.6342214,41.9098526,88,1/29/2016 8:06,1525 N WELLS,111734H,IL,TRK,940060,PARK/STAND ON BICYCLE PATH,498,STRG,150,300,0,Paid,4/1/2016 3:17,DETR,N,TRUE,1,41.9098526,-87.6342214
-87.628613,41.8832317,89,1/29/2016 9:50,19 W WASHINGTON STREET,G945573,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,HYUN,150,300,0,Paid,6/27/2016 9:14,FINL,N,TRUE,6,41.8832317,-87.628613
-87.6284885,41.8832316,90,1/29/2016 8:22,11 W WASHINGTON BLVD,E507326,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,0,Paid,2/28/2016 21:13,VIOL,N,TRUE,2,41.8832316,-87.6284885
-87.665566,41.9025148,91,1/29/2016 12:55,1152 N MILWAUKEE,Y732030,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,CADI,150,300,0,Paid,2/3/2016 22:05,,N,TRUE,1,41.9025148,-87.665566
-87.6387877,41.8675244,92,1/29/2016 11:31,1101 S CANAL,LFA52,IL,HCP,940060,PARK/STAND ON BICYCLE PATH,498,GMC,150,300,0,Paid,3/31/2016 15:40,DETR,Y,TRUE,13,41.8675244,-87.6387877
-87.6462947,41.8529047,93,1/29/2016 23:24,2145 S HALSTED ST,E198919,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,12,FORD,150,300,0,Paid,3/4/2016 20:22,VIOL,N,TRUE,3,41.8529047,-87.6462947
-87.6040524,41.8018808,94,2/1/2016 12:29,4613 S DREXEL AVE,V507280,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,DODG,150,300,0,Paid,4/11/2016 17:27,DETR,N,TRUE,1,41.8018808,-87.6040524
-87.6477904,41.8781547,95,2/1/2016 10:48,810 W JACKSON BOULEVARD,S415243,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,CHRY,150,300,366,Bankruptcy,3/22/2017 9:22,SEIZ,N,TRUE,6,41.8781547,-87.6477904
-87.6267552,41.853877,96,1/30/2016 12:23,2109 S STATE,N339073,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,LEXU,150,300,0,Paid,3/18/2016 8:13,DETR,N,TRUE,1,41.853877,-87.6267552
-87.7144499,41.8850419,97,1/29/2016 23:55,3520 W LAKE ST,X565307,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,BUIC,150,300,156.2,Notice,2/10/2016 23:08,SEIZ,N,TRUE,1,41.8850419,-87.7144499
-87.6340578,41.8891575,98,1/31/2016 17:50,200 W KINZIE,S422355,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,18,NISS,150,300,0,Paid,2/22/2016 21:22,VIOL,N,TRUE,4,41.8891575,-87.6340578
-87.6343002,41.889172,99,1/31/2016 17:50,204 W KINZIE,LCD700,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,18,FORD,150,300,0,Paid,3/18/2016 21:17,DETR,Y,TRUE,3,41.889172,-87.6343002
-87.5822262,41.7490752,100,1/28/2016 19:21,8016 S SOUTH CHICAGO,E862008,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,4,FORD,150,300,366,Notice,2/11/2016 3:19,SEIZ,N,TRUE,1,41.7490752,-87.5822262
-87.6951496,41.857796,101,2/2/2016 9:38,1649 S CALIFORNIA BLVD,A353175,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,3/7/2016 11:51,VIOL,N,TRUE,1,41.857796,-87.6951496
-87.6631942,41.9295156,102,2/2/2016 11:10,2621 N SOUTHPORT,5567441,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,0,Paid,2/3/2016 21:26,,N,TRUE,1,41.9295156,-87.6631942
-87.671624,41.850431,103,1/29/2016 1:15,2312 S BLUE ISLAND,V449755,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,10,HYUN,150,300,0,Paid,6/28/2016 10:41,FINL,N,TRUE,6,41.850431,-87.671624
-87.6718011,41.8500703,104,1/29/2016 1:17,2313 S BLUE ISLAND,S764578,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,10,JEEP,150,300,366,Notice,2/11/2016 0:11,SEIZ,N,TRUE,1,41.8500703,-87.6718011
-87.7585208,41.8872799,105,1/29/2016 23:50,5317 W LAKE,631S894,IL,TMP,940060,PARK/STAND ON BICYCLE PATH,9,INFI,150,300,366,Notice,2/11/2016 1:13,SEIZ,N,TRUE,1,41.8872799,-87.7585208
-87.625836,41.8685643,106,1/23/2016 15:36,1121 S WABASH,BSTARX1,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,TOYT,150,300,0,Paid,2/5/2016 21:27,,N,TRUE,1,41.8685643,-87.625836
-87.5930919,41.7953585,107,2/4/2016 16:47,1348 E 55TH ST,N833900,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,SUBA,150,300,0,Dismissed,3/10/2016 16:58,VIOL,Y,TRUE,2,41.7953585,-87.5930919
-87.603916,41.8020004,108,2/5/2016 9:00,5028 S DREXEL AVE,5432005,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,150,Define,2/8/2016 21:05,,N,TRUE,1,41.8020004,-87.603916
-87.6387877,41.8675244,109,2/5/2016 12:34,1101 S CANAL,V517112,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,4/15/2016 15:03,DETR,N,TRUE,13,41.8675244,-87.6387877
