X,Y,Service Request No,Description,Type Code,Created Date,Location,Address,Latitude,Longitude
-87.6724245,41.8672328,17-01100618,- Bike Lane Request - Busy day at 1850 W. Roosevelt - note cyclist trying to get around the buses (having already navigated the BMW)(http://api.ning.com/files/UNdbGkqHoSo74-1gAviYG1UfwCvRpSAuN81cem4ojYCezE20syKuq9XWmUlM7pqz9S7QFAyeneErq6323Try3mfO3eJqClr3,Bicycle Program,27-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01106444,- Bike Lane Request - Chicago Lighthouse bike lane parker #1 02/27/2017 @ 11:30am (http://XXXXXXXXX.XXX),Bicycle Program,27-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01106450,- Bike Lane Request - Chicago Lighthouse bike lane parker #2 02/27/2017 @ 11:30am (http://XXXXXXXXX.XXX)),Bicycle Program,27-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01170387,"- Bike Lane Request - Another day, another vehicle creating a dangerous situation (http://XXXXXXXXX.XXX)- that is a flyer, not a ticket under the wiper.",Bicycle Program,2-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6746556,41.8778118,17-01175899,#NAME?,Bicycle Program,2-Mar-17,1900 W JACKSON BLVD,"1900 W JACKSON BLVD , Chicago,IL",41.8778118,-87.6746556
-87.6724245,41.8672328,17-01187061,- Bike Lane Request - Today's Chicago Lighthouse bike lane obstructor goes to https://XXXXXXXXX.XXX,Bicycle Program,3-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.670637,41.8663982,17-01187989,- Bike Lane Request - PACE using the bike lane in front of WROB/IJR (https://tinyurl.com/IJRPace03032017) rather than the drop-off/parking area on Washburn.,Bicycle Program,3-Mar-17,1747 W ROOSEVELT RD,"1747 W ROOSEVELT RD , Chicago,IL",41.8663982,-87.670637
-87.6724245,41.8672328,17-01264702,#NAME?,Bicycle Program,7-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01265395,- Bike Lane Request - There is a vehicle parked on the west end of the cutout in front of the Chicago Lighthouse with its front end blocking the bike lane (different vehicle than is reported in SR #17-01264702 which is parked at the east end of the cutout,Bicycle Program,7-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01282267,- Bike Lane Request - Today's obstructor (http://XXXXXXXXXXX.XXX)is a repeat offender(https://XXXXXXXX.XXX).,Bicycle Program,8-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01301170,- Bike Lane Request - Guess what!? There is a vehicle (same one as reported at 7:15am yesterday that was there at least until 3:30) that is parked at angle obstructing the bike lane in front of the Chicago Lighthouse.,Bicycle Program,9-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6350572,41.8815453,17-01306973,#NAME?,Bicycle Program,9-Mar-17,1 S FRANKLIN ST,"1 S FRANKLIN ST , Chicago,IL",41.8815453,-87.6350572
-87.6769477,41.9149058,17-01307738,CARS ARE TAKING UP PARKING SPACES IN BIKE LANES THROUGH OUT THE CITY-ON CLYBOURN -WELLS CLARK -MILWAUKEE,A Citizen Comment,9-Mar-17,1830 N WINCHESTER AVE,"1830 N WINCHESTER AVE , Chicago,IL",41.9149058,-87.6769477
-87.6779249,41.9253927,17-01309031,"OTHER - BIKE LANE ENFORCEMENT - autos/trucks are parking in bike lanes -[on Elston from Damen to Ashland] - 9am - 10am -[mornings] - ""Special Attention"" requested for this area",Police Miscellaneous,9-Mar-17,2412 N DAMEN AVE,"2412 N DAMEN AVE , Chicago,IL",41.9253927,-87.6779249
-87.666465,41.916091,17-01309060,"OTHER - BIKE LANE ENFORCEMENT - autos/trucks are parking in bike lane -[need enforcement] - 9am - 10am [mornings] - ""special attention"" requested for this area",Police Miscellaneous,9-Mar-17,1852 N ELSTON AVE,"1852 N ELSTON AVE , Chicago,IL",41.916091,-87.666465
-87.6724245,41.8672328,17-01325644,"- Bike Lane Request - Not surprisingly (because no one enforces 9-40-060) there are two vehicles partially obstructing the bike lane in front of the Chicago Lighthouse. An everyday, all day occurrence.",Bicycle Program,10-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01371922,#NAME?,Bicycle Program,13-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.67238,41.875814,17-01393989,- Bike Lane Request - CTA blue line entrance on Odgen - vehicle parked in the bike lane (https://tinyurl.com/odgen03142017).,Bicycle Program,14-Mar-17,1841 W OGDEN AVE,"1841 W OGDEN AVE , Chicago,IL",41.875814,-87.67238
-87.6724245,41.8672328,17-01573022,"- Bike Lane Request - Well, I knew it couldn't last (last week was a good one) - serial offender blocking the bike lane in front of the Chicago Lighthouse (https://tinyurl.com/CLB-03222017).",Bicycle Program,22-Mar-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6658187,41.9164961,17-01629109,- Bike Lane Request - Blocked bike lane on south side of Cortland across from gas station. 4 parked cars in bike lane.,Bicycle Program,24-Mar-17,1519 W CORTLAND ST,"1519 W CORTLAND ST , Chicago,IL",41.9164961,-87.6658187
-87.629441,41.874026,17-01793895,Blocking Lanes of Traffic - vehicles parked - Bike Lane ( large white semi-truck freight liner) plte#P811025 - XXX-XXX-XXXX,Police Miscellaneous,30-Mar-17,600 S DEARBORN ST,"600 S DEARBORN ST , Chicago,IL",41.874026,-87.629441
-87.6442373,41.8857153,17-01933501,- 3 cars parked in bike lane - 3 cars parked in bike lane - Construction Blocking Bike Lane - 3 cars parked in bike lane - 3 cars parked in bike lane - XXX-XXX-XXXX,Bicycle Program,4-Apr-17,200 N DESPLAINES ST,"200 N DESPLAINES ST , Chicago,IL",41.8857153,-87.6442373
-87.6724245,41.8672328,17-01989761,- Bike Lane Request - There are currently 3 vehicles parked in the bike lane in front of the Chicago Lighthouse (https://tinyurl.com/CLB-04062017). 12:15pm 04/06/2017,Bicycle Program,6-Apr-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6431835,41.8748567,17-02275211,#NAME?,Bicycle Program,17-Apr-17,630 W HARRISON ST,"630 W HARRISON ST , Chicago,IL",41.8748567,-87.6431835
-87.6460733,41.8418764,17-02462415,#NAME?,Bicycle Program,24-Apr-17,2857 S HALSTED ST,"2857 S HALSTED ST , Chicago,IL",41.8418764,-87.6460733
-87.635965,41.8572771,17-03818323,#NAME?,Bicycle Program,9-Jun-17,327 W 18TH ST,"327 W 18TH ST , Chicago,IL",41.8572771,-87.635965
-87.6479481,41.8719124,17-03959990,#NAME?,Bicycle Program,15-Jun-17,700 S HALSTED ST,"700 S HALSTED ST , Chicago,IL",41.8719124,-87.6479481
-87.646855,41.853807,17-04226105,#NAME?,Bicycle Program,26-Jun-17,2100 S HALSTED ST,"2100 S HALSTED ST , Chicago,IL",41.853807,-87.646855
-87.6362035,41.7438286,17-04354406,"The bike lane for 83rd and vincenennes to 83rd aned lafayette - The cars are riding in the bike lane would like the Mayor to fix the problem, The Sup- Curtis McDaniel brought out some horses and they even tore up those up. Something has to be done. -XXX XXX-XXXXAlso notified the Alerman Cannot even ride your bike",A Citizen Comment,1-Jul-17,8300 S VINCENNES AVE,"8300 S VINCENNES AVE , Chicago,IL",41.7438286,-87.6362035
-87.6674515,41.8802504,17-01719371,Sunday - 11:00 AM - to 5pm,Vehicle Parked in a Bike Lane,27-Mar-17,1630 W OGDEN AVE,"1630 W OGDEN AVE , Chicago, IL",41.8802504,-87.6674515
-87.6402887,41.8361131,17-01803924,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 11:00 AM",Vehicle Parked in a Bike Lane,30-Mar-17,535 W 32ND ST,"535 W 32ND ST , Chicago, IL",41.8361131,-87.6402887
-87.6418486,41.8887067,17-01834933,"- Wednesday - 7:00 PM - Often delivery drivers for Postmates, DoorDash, etc. Or a ride share driver picking up a passenger from Alta @ K Station.",Vehicle Parked in a Bike Lane,31-Mar-17,555 W KINZIE ST,"555 W KINZIE ST , Chicago, IL",41.8887067,-87.6418486
-87.6840627,41.9363309,17-01836378,"- ,Monday,Tuesday,Wednesday,Thursday,Friday - 8:30 AM - Panel truck is loading and unloading most mornings of the week while blocking the bike lane. It's a hazard for people biking.",Vehicle Parked in a Bike Lane,31-Mar-17,3020 N CLYBOURN AVE,"3020 N CLYBOURN AVE , Chicago, IL",41.9363309,-87.6840627
-87.6784274,41.9029668,17-01836829,"- ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 12:00 PM - Jimmy John's delivery drivers regularly use bike lane as a parking lot. Day and night.",Vehicle Parked in a Bike Lane,31-Mar-17,2029 W DIVISION ST,"2029 W DIVISION ST , Chicago, IL",41.9029668,-87.6784274
-87.6733023,41.9226456,17-01915042,"- Wednesday,Thursday - 5:30 PM - The Budget Truck Rental located at 2241 N Elston is parking its trucks in the bike lane just north of their building on Elston",Vehicle Parked in a Bike Lane,3-Apr-17,2241 N ELSTON AVE,"2241 N ELSTON AVE , Chicago, IL",41.9226456,-87.6733023
-87.6296888,41.8846425,17-01917446,"- ,Monday - 4:45 PM - Police car 6776, license plate 6764",Vehicle Parked in a Bike Lane,3-Apr-17,150 N DEARBORN ST,"150 N DEARBORN ST , Chicago, IL",41.8846425,-87.6296888
-87.6293596,41.8806897,17-01919349,Monday - 7:22 PM - SW CORNER ON DEARBORN / MONROE ON 04/03/2017,Vehicle Parked in a Bike Lane,3-Apr-17,100 S DEARBORN ST,"100 S DEARBORN ST , Chicago, IL",41.8806897,-87.6293596
-87.6431369,41.87404,17-01921982,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 5:00 PM - Across from Greyhound bus station. Even on the Google Maps street view you will see 5 cars in the bike lane",Vehicle Parked in a Bike Lane,3-Apr-17,601 W HARRISON ST,"601 W HARRISON ST , Chicago, IL",41.87404,-87.6431369
-87.6756561,41.8775974,17-01922112,"- Monday,Tuesday,Wednesday,Thursday,Friday - 8:00 AM - Starting at around 8am and going into evening hours, the PBL on Jackson in front of Malcolm X College is completely full of cars. All the candlesticks are gone and the paint is mostly covered/destroye",Vehicle Parked in a Bike Lane,3-Apr-17,1950 W JACKSON BLVD,"1950 W JACKSON BLVD , Chicago, IL",41.8775974,-87.6756561
-87.6379867,41.8744288,17-01922241,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday - 5:00 PM - Postal customers routinely park in the buffered bike lane along the entire block",Vehicle Parked in a Bike Lane,3-Apr-17,339 W HARRISON ST,"339 W HARRISON ST , Chicago, IL",41.8744288,-87.6379867
-87.670637,41.8663982,17-01930313,- Tuesday - 9:00 AM - UBER drop-off,Vehicle Parked in a Bike Lane,4-Apr-17,1747 W ROOSEVELT RD,"1747 W ROOSEVELT RD , Chicago, IL",41.8663982,-87.670637
-87.6353887,41.8860795,17-01933491,- Tuesday - 8:00 AM,Vehicle Parked in a Bike Lane,4-Apr-17,232 N FRANKLIN ST,"232 N FRANKLIN ST , Chicago, IL",41.8860795,-87.6353887
-87.6746556,41.8778118,17-01933948,"- Monday,Tuesday,Wednesday,Thursday,Friday - 9:00 AM - The bike lane is present just East of Damen on Jackson however, it has not been obvious to drivers and they park in the bike lane as a result. This area needs to be protected for bikes, cars veer in a",Vehicle Parked in a Bike Lane,4-Apr-17,1900 W JACKSON BLVD,"1900 W JACKSON BLVD , Chicago, IL",41.8778118,-87.6746556
-87.6413863,41.8890798,17-01934387,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,541 W KINZIE ST,"541 W KINZIE ST , Chicago, IL",41.8890798,-87.6413863
-87.6413863,41.8890798,17-01934544,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM - Cars continue to park and drive in the protected bike lane when traffic is at a stand still.",Vehicle Parked in a Bike Lane,4-Apr-17,541 W KINZIE ST,"541 W KINZIE ST , Chicago, IL",41.8890798,-87.6413863
-87.6479481,41.8719123,17-01934913,"- Monday,Tuesday,Wednesday,Thursday,Friday - 6:00 PM - People are constantly lined up in bike lane to pick up students from UIC. Ignoring no standing/parking signs. They are not using the designated pull-off a few feet down.",Vehicle Parked in a Bike Lane,4-Apr-17,750 S HALSTED ST,"750 S HALSTED ST , Chicago, IL",41.8719123,-87.6479481
-87.6337296,41.8911496,17-01935329,"- Monday,Tuesday,Wednesday,Thursday,Friday - 6:00 PM - There are a lot of lyft/uber drivers double parked in bike lane on wells between Illinois & Ohio street",Vehicle Parked in a Bike Lane,4-Apr-17,509 N WELLS ST,"509 N WELLS ST , Chicago, IL",41.8911496,-87.6337296
-87.6784274,41.9029668,17-01936235,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 5:00 PM - Witnessed multiple drivers ( 3 of which were ubers ) parked in bike lane adjacent ( next to ) open parking spaces. Mostly around dinner rush time but other times as well. This activity",Vehicle Parked in a Bike Lane,4-Apr-17,2029 W DIVISION ST,"2029 W DIVISION ST , Chicago, IL",41.9029668,-87.6784274
-87.6431835,41.8748567,17-01936492,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 1:00 PM - it's all the time, especially on the south side of the street",Vehicle Parked in a Bike Lane,4-Apr-17,630 W HARRISON ST,"630 W HARRISON ST , Chicago, IL",41.8748567,-87.6431835
-87.6431835,41.8748567,17-01936655,"- Monday,Tuesday,Wednesday,Thursday,Friday - 6:00 PM - Taxis, ubers, and other passenger vehicles use this space to pick up passengers from Greyhound stop.",Vehicle Parked in a Bike Lane,4-Apr-17,630 W HARRISON ST,"630 W HARRISON ST , Chicago, IL",41.8748567,-87.6431835
-87.6431369,41.87404,17-01936657,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,601 W HARRISON ST,"601 W HARRISON ST , Chicago, IL",41.87404,-87.6431369
-87.6281025,41.8562639,17-01936661,"- Monday,Tuesday,Wednesday,Thursday,Friday - 8:00 AM - parents dropping off school children probably",Vehicle Parked in a Bike Lane,4-Apr-17,1930 S ARCHER AVE,"1930 S ARCHER AVE , Chicago, IL",41.8562639,-87.6281025
-87.6479481,41.8719123,17-01936743,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM - Passenger vehicles, uber, etc, use bike lane as parking lane while waiting to pick up/drop off students, even though there are two pull in areas nearby.",Vehicle Parked in a Bike Lane,4-Apr-17,750 S HALSTED ST,"750 S HALSTED ST , Chicago, IL",41.8719123,-87.6479481
-87.7222567,41.9384224,17-01937302,- Friday - 1:00 PM - Was a police SUV,Vehicle Parked in a Bike Lane,4-Apr-17,3143 N MILWAUKEE AVE,"3143 N MILWAUKEE AVE , Chicago, IL",41.9384224,-87.7222567
-87.745046,41.886213,17-01937736,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM - Trucks often park slightly before and into the bike lane at the split of Lake into two lanes, this forces cyclists into the rightmost ""fast lane"" where cars are blasting east after the light at Cicero",Vehicle Parked in a Bike Lane,4-Apr-17,4749 W LAKE ST,"4749 W LAKE ST , Chicago, IL",41.886213,-87.745046
-87.6950364,41.8991054,17-01937906,"- Monday,Tuesday,Wednesday,Thursday,Friday - 4:00 PM - Every school day, parents double park in the bike lane, opening doors into the street, and rendering the entire stretch of Augusta between California and Western a no-go zone for cyclists. It is espec",Vehicle Parked in a Bike Lane,4-Apr-17,2715 W AUGUSTA BLVD,"2715 W AUGUSTA BLVD , Chicago, IL",41.8991054,-87.6950364
-87.7073737,41.9125564,17-01938018,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,1720 N KEDZIE AVE,"1720 N KEDZIE AVE , Chicago, IL",41.9125564,-87.7073737
-87.6359196,41.8577159,17-01938466,"- Tuesday - 3:00 PM - 2 vehicles parked in west bound bike lane, 1 in east bound bike lane",Vehicle Parked in a Bike Lane,4-Apr-17,330 W 18TH ST,"330 W 18TH ST , Chicago, IL",41.8577159,-87.6359196
-87.6524465,41.894007,17-01939367,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,688 N MILWAUKEE AVE,"688 N MILWAUKEE AVE , Chicago, IL",41.894007,-87.6524465
-87.6286051,41.8745383,17-01939368,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,34 W HARRISON ST,"34 W HARRISON ST , Chicago, IL",41.8745383,-87.6286051
-87.6298721,41.88606,17-01939695,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM",Vehicle Parked in a Bike Lane,4-Apr-17,200 N DEARBORN ST,"200 N DEARBORN ST , Chicago, IL",41.88606,-87.6298721
-87.626239,41.865598,17-01939697,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,1300 S WABASH AVE,"1300 S WABASH AVE , Chicago, IL",41.865598,-87.626239
-87.6286851,41.8847,17-01940128,"- Monday,Tuesday,Wednesday,Thursday,Friday - 7:00 AM - The construction crew at the Oriental Theater will regularly block the bike lane on Randolph with trucks, equipment, signs, or cones.",Vehicle Parked in a Bike Lane,4-Apr-17,24 W RANDOLPH ST,"24 W RANDOLPH ST , Chicago, IL",41.8847,-87.6286851
-87.6350572,41.8815453,17-01941136,- Tuesday - 4:16 PM - In front of La Quinta hotel (Photo: https://dl.dropboxusercontent.com/u/29277495/Cycling/20170404_161318s.jpg),Vehicle Parked in a Bike Lane,4-Apr-17,1 S FRANKLIN ST,"1 S FRANKLIN ST , Chicago, IL",41.8815453,-87.6350572
-87.6269174,41.8745435,17-01941866,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,14 E HARRISON ST,"14 E HARRISON ST , Chicago, IL",41.8745435,-87.6269174
-87.6303832,41.8746534,17-01942108,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM",Vehicle Parked in a Bike Lane,4-Apr-17,80 W HARRISON ST,"80 W HARRISON ST , Chicago, IL",41.8746534,-87.6303832
-87.6303832,41.8746534,17-01942144,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,80 W HARRISON ST,"80 W HARRISON ST , Chicago, IL",41.8746534,-87.6303832
-87.640414,41.8745832,17-01942192,"- Monday,Tuesday,Wednesday,Thursday,Friday - 5:00 PM",Vehicle Parked in a Bike Lane,4-Apr-17,520 W HARRISON ST,"520 W HARRISON ST , Chicago, IL",41.8745832,-87.640414
-87.6470806,41.8710023,17-01942197,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,790 S HALSTED ST,"790 S HALSTED ST , Chicago, IL",41.8710023,-87.6470806
-87.6471868,41.866481,17-01942242,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,1220 S HALSTED ST,"1220 S HALSTED ST , Chicago, IL",41.866481,-87.6471868
-87.6389792,41.8740424,17-01943111,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday - 1:00 PM - there are people parked in the bike lane in front of the post office all the time. it's super dangerous.",Vehicle Parked in a Bike Lane,4-Apr-17,433 W HARRISON ST,"433 W HARRISON ST , Chicago, IL",41.8740424,-87.6389792
-87.647807,41.887079,17-01943304,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,306 N HALSTED ST,"306 N HALSTED ST , Chicago, IL",41.887079,-87.647807
-87.6671964,41.8804621,17-01943617,- Sunday - 3:00 PM,Vehicle Parked in a Bike Lane,4-Apr-17,1620 W OGDEN AVE,"1620 W OGDEN AVE , Chicago, IL",41.8804621,-87.6671964
-87.6292031,41.8880658,17-01943618,#NAME?,Vehicle Parked in a Bike Lane,4-Apr-17,321 N DEARBORN ST,"321 N DEARBORN ST , Chicago, IL",41.8880658,-87.6292031
-87.6418486,41.8887067,17-01945054,"- Monday,Tuesday,Wednesday,Thursday,Friday - 6:00 PM - Both sides of street, all day, but especially evening rush hour",Vehicle Parked in a Bike Lane,4-Apr-17,555 W KINZIE ST,"555 W KINZIE ST , Chicago, IL",41.8887067,-87.6418486
-87.6285382,41.8918108,17-01946066,"- ,Tuesday - 8:00 PM",Vehicle Parked in a Bike Lane,4-Apr-17,6 W GRAND AVE,"6 W GRAND AVE , Chicago, IL",41.8918108,-87.6285382
-87.6675559,41.8801672,17-01946138,- Sunday - 1:00 PM - About 10 cars from 1600 to 1634,Vehicle Parked in a Bike Lane,4-Apr-17,1634 W OGDEN AVE,"1634 W OGDEN AVE , Chicago, IL",41.8801672,-87.6675559
-87.6341188,41.9047391,17-01947644,NORTH OF DIV. - Tuesday - 6:45 PM - CAB DRIVER LICENSE PLATE 6703,Vehicle Parked in a Bike Lane,4-Apr-17,1225 N WELLS ST,"1225 N WELLS ST , Chicago, IL",41.9047391,-87.6341188
-87.6733023,41.9226456,17-01947748,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 05:00 PM - Every afternoon the Budget Rental truck business has their trucks blocking or partially blocking the bike lane. I have seen it every single day of the week.",Vehicle Parked in a Bike Lane,4-Apr-17,2241 N ELSTON AVE,"2241 N ELSTON AVE , Chicago, IL",41.9226456,-87.6733023
-87.6316716,41.8828273,17-01957846,- Wednesday - 9:45 AM - Chicago Water Management truck number WD3293 (plate M 208839) parked in bike lane,Vehicle Parked in a Bike Lane,5-Apr-17,111 W WASHINGTON ST,"111 W WASHINGTON ST , Chicago, IL",41.8828273,-87.6316716
-87.6479481,41.8719123,17-01958333,#NAME?,Vehicle Parked in a Bike Lane,5-Apr-17,750 S HALSTED ST,"750 S HALSTED ST , Chicago, IL",41.8719123,-87.6479481
-87.6666933,41.8809004,17-01958632,- Sunday - 11:00 AM,Vehicle Parked in a Bike Lane,5-Apr-17,1600 W OGDEN AVE,"1600 W OGDEN AVE , Chicago, IL",41.8809004,-87.6666933
-87.6468062,41.9081312,17-01959021,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 9:00 AM",Vehicle Parked in a Bike Lane,5-Apr-17,1500 N CLYBOURN AVE,"1500 N CLYBOURN AVE , Chicago, IL",41.9081312,-87.6468062
-87.6733023,41.9226456,17-01960156,"- Monday - 9:00 AM - Budget rental trucks are parked in the bike lane on both the northbound and southbound sides of elston every single day, all day.",Vehicle Parked in a Bike Lane,5-Apr-17,2241 N ELSTON AVE,"2241 N ELSTON AVE , Chicago, IL",41.9226456,-87.6733023
-87.538257,41.7255759,17-01962321,Wednesday - 12:00 PM- WHITE FORD TRUCK NO PLATE'S- PARKED EVERYDAY IN THE BIKE LANE,Vehicle Parked in a Bike Lane,5-Apr-17,9377 S EWING AVE,"9377 S EWING AVE , Chicago, IL",41.7255759,-87.538257
-87.6821237,41.8224972,17-01962612,"- Monday,Tuesday,Wednesday,Thursday,Friday - 7:30 AM - 7:30AM-9:30AM 2:30PM-3:00PM several vehicles parked in bike lanes mon-fri",Vehicle Parked in a Bike Lane,5-Apr-17,2245 W PERSHING RD,"2245 W PERSHING RD , Chicago, IL",41.8224972,-87.6821237
-87.6416682,41.8738373,17-01963488,- Tuesday - 9:00 AM - There was a line of 4 cars parked in the bike lane.,Vehicle Parked in a Bike Lane,5-Apr-17,555 W HARRISON ST,"555 W HARRISON ST , Chicago, IL",41.8738373,-87.6416682
-87.6245591,41.7800051,17-01963631,"- Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday - 10:00 AM - The police station uses the bike lanes as parking lanes for their vehicles causing bike riders to ride with dangerous vehicle traffic! The CPD has parking lots for their vehicles and ",Vehicle Parked in a Bike Lane,5-Apr-17,18 S STATE ST,"18 S STATE ST , Chicago, IL",41.7800051,-87.6245591
-87.683246,41.822647,17-01965037,"- Monday,Tuesday,Wednesday,Thursday,Friday - 3:00 PM - It occurs at 8am and 3pm",Vehicle Parked in a Bike Lane,5-Apr-17,2323 W PERSHING RD,"2323 W PERSHING RD , Chicago, IL",41.822647,-87.683246
-87.6257027,41.8819204,17-01965335,#NAME?,Vehicle Parked in a Bike Lane,5-Apr-17,1 E MADISON ST,"1 E MADISON ST , Chicago, IL",41.8819204,-87.6257027
-87.6669488,41.8806794,17-01978192,#NAME?,Vehicle Parked in a Bike Lane,5-Apr-17,1610 W OGDEN AVE,"1610 W OGDEN AVE , Chicago, IL",41.8806794,-87.6669488
